Accelerometer_Gx,Accelerometer_Gy,Accelerometer_Gz,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_Z,Gyroscope_X,Gyroscope_Y
0,0,9.96945571899414,0,0,0.019600000232458115,-0.07300000130214508,0.05999999686717535,-0.014999999216793838
0,0,9.979032516479492,0,0,0.019600000232458115,-0.012000000373951061,-0.06099999926066736,0.04500000098543482
0,0,9.959878921508789,0,0,0,-0.13400000056281244,-0.06099999926066736,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,-0.012000000373951061,0,-0.07600000181251451
0,0,9.988609313964844,0,0,0.019600000232458115,-0.012000000373951061,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,0.048000001495804245,-0.06099999926066736,-0.014999999216793838
0,0,9.979032516479492,0,0,0,0.10900000075647161,0.05999999686717535,0.10600000024610218
0,0,9.988609313964844,0,0,0.009800000116229057,-0.012000000373951061,0.12100000279794933,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,0.048000001495804245,0.05999999686717535,0.10600000024610218
0,0,9.998186111450195,0,0,0.019600000232458115,-0.012000000373951061,-0.06099999926066736,-0.13700000107318186
0,0,9.988609313964844,0,0,0.009800000116229057,-0.012000000373951061,-0.06099999926066736,0.04500000098543482
0,0,9.988609313964844,0,0,0.009800000116229057,-0.012000000373951061,0.12100000279794933,-0.014999999216793838
0,0,9.988609313964844,0,0,0.019600000232458115,-0.07300000130214508,-0.06099999926066736,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.07300000130214508,-0.06099999926066736,0.04500000098543482
0,0,9.988609313964844,0,0,0,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,0.048000001495804245,0,-0.07600000181251451
0,0,9.998186111450195,0,0,0.029399998486042023,0.048000001495804245,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,-0.07300000130214508,0,0.04500000098543482
0,0,9.988609313964844,0,0,0.009800000116229057,-0.07300000130214508,-0.12199999852133472,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.07300000130214508,0.05999999686717535,-0.07600000181251451
-0.009576806798577309,0,9.988609313964844,0,0,0,-0.25599999908414717,-0.06099999926066736,0.10600000024610218
0,0,9.988609313964844,0,0,0.009800000116229057,0.048000001495804245,0.18199999538851008,0.04500000098543482
0,0,9.998186111450195,0,0,0,0.048000001495804245,0.18199999538851008,0.04500000098543482
0,0,9.979032516479492,0,0,-0.019600000232458115,0.048000001495804245,0.12100000279794933,-0.07600000181251451
0,0,9.998186111450195,0,0,0.029399998486042023,0.10900000075647161,0,-0.07600000181251451
0,0,9.998186111450195,0,0,0.019600000232458115,-0.31699999167470794,0.05999999686717535,0.04500000098543482
0,0,9.988609313964844,0,0,0,-0.25599999908414717,0.05999999686717535,0.04500000098543482
0,0,9.979032516479492,0,0,0,-0.07300000130214508,-0.12199999852133472,-0.014999999216793838
0,0,9.998186111450195,0,0,0.029399998486042023,0.16999999334703236,0,0.04500000098543482
0,0,9.988609313964844,0,0,0.009800000116229057,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,-0.07300000130214508,0.05999999686717535,0.04500000098543482
0,0,9.998186111450195,0,0,0.019600000232458115,-0.07300000130214508,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.07300000130214508,-0.06099999926066736,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,0.10900000075647161,0.05999999686717535,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.07300000130214508,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.13400000056281244,0,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,-0.012000000373951061,0,0.10600000024610218
0,0,9.998186111450195,0,0,0.019600000232458115,0.048000001495804245,0.12100000279794933,-0.014999999216793838
0,0,9.998186111450195,0,0,0.019600000232458115,-0.07300000130214508,0.12100000279794933,0.04500000098543482
0,0,9.998186111450195,0,0,0.019600000232458115,-0.012000000373951061,0,0.04500000098543482
0,0,9.998186111450195,0,0,0,0.16999999334703236,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0,0.048000001495804245,-0.06099999926066736,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,0.048000001495804245,-0.06099999926066736,-0.07600000181251451
0,0,9.998186111450195,0,0,0,-0.07300000130214508,-0.06099999926066736,0.04500000098543482
0,0,9.998186111450195,0,0,0,-0.13400000056281244,0,0.10600000024610218
0,0,9.998186111450195,0,0,0,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,9.988609313964844,0,0,-0.009800000116229057,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,9.988609313964844,0,0,-0.009800000116229057,0.10900000075647161,0.05999999686717535,0.04500000098543482
0,0,9.998186111450195,0,0,0,-0.07300000130214508,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0,-0.07300000130214508,-0.06099999926066736,0.10600000024610218
0,0,9.998186111450195,0,0,0,-0.13400000056281244,0,0.04500000098543482
0,0,9.911994934082031,0,0,-0.07840000092983246,0.10900000075647161,0.18199999538851008,0.04500000098543482
0,-0.019153613597154617,9.96945571899414,0,0,-0.019600000232458115,-0.07300000130214508,0.05999999686717535,0.10600000024610218
0,0,9.979032516479492,0,0,0.009800000116229057,-0.012000000373951061,0,-0.014999999216793838
0,0,9.96945571899414,0,0,-0.019600000232458115,-0.13400000056281244,0.12100000279794933,0.04500000098543482
0,0,9.988609313964844,0,0,0,0.10900000075647161,0,-0.014999999216793838
0,0.009576806798577309,9.988609313964844,0,0,0,-0.012000000373951061,0.05999999686717535,0.10600000024610218
0,0,9.988609313964844,0,0,-0.03920000046491623,-0.25599999908414717,0.18199999538851008,0.04500000098543482
0,0,10.036493301391602,0,0,0.019600000232458115,-0.25599999908414717,-0.12199999852133472,0.04500000098543482
0,0,10.02691650390625,0,0,0.009800000116229057,-0.19499999315337319,0.05999999686717535,-0.014999999216793838
0,0,10.017339706420898,0,0,-0.009800000116229057,-0.13400000056281244,0,-0.014999999216793838
0,0,9.988609313964844,0,0,-0.009800000116229057,-0.07300000130214508,0,-0.014999999216793838
0,0,10.007762908935547,0,0,0,0.048000001495804245,0.05999999686717535,0.04500000098543482
0,0,10.007762908935547,0,0,0,-0.012000000373951061,0,-0.014999999216793838
0,0,10.02691650390625,0,0,0.019600000232458115,0.048000001495804245,-0.06099999926066736,-0.07600000181251451
0,0,9.988609313964844,0,0,0.009800000116229057,0.048000001495804245,0.05999999686717535,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,0.048000001495804245,0,-0.07600000181251451
0,0,9.998186111450195,0,0,0.019600000232458115,-0.07300000130214508,0,0.04500000098543482
0,0,9.988609313964844,0,0,-0.009800000116229057,0.10900000075647161,0.05999999686717535,-0.014999999216793838
0,0,9.988609313964844,0,0,0,0.048000001495804245,-0.06099999926066736,-0.014999999216793838
0,0,10.017339706420898,0,0,0,0.048000001495804245,0.12100000279794933,0.04500000098543482
0,0,9.998186111450195,0,0,0,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,10.007762908935547,0,0,0.009800000116229057,-0.012000000373951061,0.12100000279794933,-0.014999999216793838
-0.009576806798577309,0,10.036493301391602,0,0,0.019600000232458115,-0.13400000056281244,-0.12199999852133472,-0.014999999216793838
0,0,10.055646896362305,0,0,0.03920000046491623,-0.07300000130214508,0.05999999686717535,-0.014999999216793838
0,0,10.02691650390625,0,0,0.019600000232458115,-0.07300000130214508,0,0.04500000098543482
0,0,9.988609313964844,0,0,0,0.10900000075647161,0.12100000279794933,-0.014999999216793838
0,0,9.998186111450195,0,0,-0.019600000232458115,-0.07300000130214508,0.05999999686717535,0.10600000024610218
0,0,9.998186111450195,0,0,-0.019600000232458115,-0.012000000373951061,0,-0.07600000181251451
0,0,9.998186111450195,0,0,-0.019600000232458115,-0.07300000130214508,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0,-0.012000000373951061,0,-0.014999999216793838
0,0,9.988609313964844,0,0,-0.009800000116229057,0.048000001495804245,-0.06099999926066736,0.04500000098543482
0,0,9.998186111450195,0,0,-0.009800000116229057,-0.13400000056281244,0.05999999686717535,0.04500000098543482
0,0,9.998186111450195,0,0,-0.009800000116229057,0.048000001495804245,0,0.04500000098543482
0,0,9.998186111450195,0,0,0,-0.012000000373951061,0,0.04500000098543482
0,0,9.998186111450195,0,0,0,0.048000001495804245,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0,0.048000001495804245,0.05999999686717535,-0.07600000181251451
0,0,9.988609313964844,0,0,-0.009800000116229057,0.048000001495804245,0,0.04500000098543482
0,0,9.988609313964844,0,0,0,-0.012000000373951061,-0.06099999926066736,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,-0.12199999852133472,0.04500000098543482
0,0,9.988609313964844,0,0,0,-0.07300000130214508,-0.12199999852133472,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.012000000373951061,0,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.012000000373951061,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0.12100000279794933,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.13400000056281244,0,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.012000000373951061,0,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,0.048000001495804245,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,0.048000001495804245,0.05999999686717535,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0.12100000279794933,0.04500000098543482
0.019153613597154617,-0.028730420395731926,10.02691650390625,0,-0.00969999935477972,0.019600000232458115,0.048000001495804245,-0.06099999926066736,-0.014999999216793838
0.019153613597154617,-0.028730420395731926,10.02691650390625,0,-0.00969999935477972,0.019600000232458115,-0.25599999908414717,0.12100000279794933,0.04500000098543482
0,0,10.007762908935547,0,0,0.009800000116229057,-0.012000000373951061,-0.06099999926066736,0.04500000098543482
0,0,10.007762908935547,0,0,0.009800000116229057,-0.012000000373951061,-0.06099999926066736,0.04500000098543482
-0.009576806798577309,0,10.007762908935547,0,0,0.019600000232458115,0.048000001495804245,0,-0.014999999216793838
0,0,10.007762908935547,0,0,0.019600000232458115,-0.07300000130214508,0.05999999686717535,-0.13700000107318186
0,0,9.998186111450195,0,0,0,-0.13400000056281244,-0.06099999926066736,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0.05999999686717535,-0.014999999216793838
0,0,10.007762908935547,0,0,0,0.048000001495804245,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0,-0.012000000373951061,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0,-0.19499999315337319,0,-0.014999999216793838
0,0,10.007762908935547,0,0,0.009800000116229057,-0.012000000373951061,0.05999999686717535,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,0.048000001495804245,0,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.012000000373951061,0,0.04500000098543482
0,0,9.988609313964844,0,0,0.009800000116229057,-0.07300000130214508,0,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0.05999999686717535,-0.07600000181251451
0,0,9.998186111450195,0,0,0,-0.07300000130214508,0,-0.014999999216793838
0,0,9.988609313964844,0,0,0.009800000116229057,-0.4999999961268166,-0.1830000044521087,0.10600000024610218
0,0,9.988609313964844,0,0,0.009800000116229057,0.4139999903897018,-0.06099999926066736,-0.07600000181251451
0,0,9.988609313964844,0,0,0.009800000116229057,0.048000001495804245,-0.12199999852133472,-0.014999999216793838
0,0,9.998186111450195,0,0,0,-0.012000000373951061,0.12100000279794933,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,0.048000001495804245,0.05999999686717535,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.13400000056281244,0.12100000279794933,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.012000000373951061,0,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,-0.06099999926066736,-0.07600000181251451
0,0,9.998186111450195,0,0,0.009800000116229057,0.048000001495804245,0.05999999686717535,-0.014999999216793838
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.07300000130214508,0,0.04500000098543482
0,0,9.998186111450195,0,0,0.009800000116229057,-0.05099999867112037,-0.012000000373951061,-0.019000000453128628
0,0,9.998186111450195,0,0,0.009800000116229057,0.008999999863581633,-0.012000000373951061,-0.07999999804626934
0,0,9.988609313964844,0,0,0,-0.11200000126684104,0.10900000075647161,-0.07999999804626934
0,0,9.998186111450195,0,0,0,-0.23399998644796255,-0.012000000373951061,0.041000001416626686
0,0,9.998186111450195,0,0,0,-0.23399998644796255,0.048000001495804245,0.10199999734224074
0,0,9.998186111450195,0,0,0,0.07000000079177565,-0.012000000373951061,-0.019000000453128628
0,0,9.998186111450195,0,0,0,0.07000000079177565,-0.07300000130214508,-0.019000000453128628
0,0,9.998186111450195,0,0,0,-0.11200000126684104,-0.012000000373951061,-0.019000000453128628
0,0,9.998186111450195,0,0,0,0.008999999863581633,-0.07300000130214508,-0.019000000453128628
0,0,9.998186111450195,0,0,0,0.008999999863581633,-0.07300000130214508,-0.019000000453128628
0,0,9.998186111450195,0,0,0,0.008999999863581633,-0.07300000130214508,0.041000001416626686
0,0,9.998186111450195,0,0,0,-0.11200000126684104,-0.012000000373951061,-0.019000000453128628
0,0,9.998186111450195,0,0,0,0.008999999863581633,-0.012000000373951061,0.041000001416626686
0,0,9.998186111450195,0,0,0,0.13100000005244303,-0.012000000373951061,-0.019000000453128628
0,0,9.998186111450195,0,0,0,0.07000000079177565,0.048000001495804245,-0.019000000453128628
0,0,9.998186111450195,0,0,0,-0.05099999867112037,-0.012000000373951061,0.10199999734224074
0,0,9.96945571899414,0,0,0.058799996972084045,0.25299999857377775,-0.13400000056281244,-0.019000000453128628
0,0,9.998186111450195,0,0,0.019600000232458115,0.008999999863581633,0.048000001495804245,-0.07999999804626934
0,0,10.017339706420898,0,0,0.029399998486042023,0.13100000005244303,0.048000001495804245,0.041000001416626686
0,0,9.988609313964844,0,0,0,0.008999999863581633,-0.012000000373951061,0.041000001416626686
0,0,9.998186111450195,0,0,0.009800000116229057,0.13100000005244303,-0.07300000130214508,-0.019000000453128628
0,0,9.998186111450195,0,0,0.019600000232458115,-0.05099999867112037,-0.13400000056281244,0.041000001416626686
